CustomerID,Recency,Frequency,Monetary_Value,Quantity_Avg,Quantity_Total,AOV,90P_Days_Between_Purchase,50P_Days_Between_Purchase,Churn_Risk
12423,92,7,1524.2900000000002,11.108910891089108,1122,217.7557142857143,72.60000000000001,28.0,high
12424,154,2,1599.9199999999998,20.666666666666668,620,799.9599999999999,0.0,0.0,high
12427,13,3,686.3600000000001,10.214285714285714,286,228.78666666666672,256.4,38.0,low
12428,17,8,6307.740000000006,12.226480836236934,3509,788.4675000000008,87.7,15.0,medium
12429,1,4,3445.2600000000007,15.595744680851064,1466,861.3150000000002,155.2,96.0,low
12431,27,15,5375.54,9.49785407725322,2213,358.3693333333333,55.8,16.0,medium
12432,34,4,4182.24,16.373831775700936,1752,1045.56,90.30000000000003,0.0,medium
12433,1,5,10469.199999999988,21.23728813559322,7518,2093.8399999999974,183.20000000000002,34.0,low
12434,76,2,777.1399999999999,7.88,394,388.56999999999994,157.5,87.5,low
12435,71,2,7250.9800000000005,39.75,1431,3625.4900000000002,169.20000000000002,94.0,low
12437,1,17,4281.199999999999,15.142857142857142,2756,251.83529411764698,37.2,19.0,low
12438,6,2,2520.8,12.177083333333334,1169,1260.4,112.5,62.5,low
12444,13,5,3894.2099999999996,6.569767441860465,1130,778.8419999999999,44.2,36.0,low
12449,14,4,3575.770000000001,8.144385026737968,1523,893.9425000000002,65.4,47.0,low
12450,148,2,197.88,16.0,128,98.94,15.3,8.5,high
12451,2,5,8823.759999999997,17.725212464589234,6257,1764.7519999999993,133.6,43.0,low
12455,65,5,2009.06,19.24705882352941,1636,401.812,85.80000000000001,33.0,medium
12456,36,3,2592.5799999999995,13.065573770491802,1594,864.1933333333332,115.6,86.0,low
12457,58,6,1867.1099999999997,12.389830508474576,731,311.18499999999995,81.0,4.0,medium
12458,63,2,782.3600000000001,13.277777777777779,478,391.18000000000006,191.70000000000002,106.5,low
12462,10,2,937.09,8.783333333333333,527,468.545,255.6,142.0,low
12463,45,4,1200.2799999999997,9.721518987341772,768,300.06999999999994,94.9,32.5,medium
12464,2,8,825.0,4.318181818181818,95,103.125,83.3,33.5,low
12465,9,2,682.19,10.555555555555555,475,341.095,136.8,76.0,low
12468,179,2,656.79,10.055555555555555,362,328.395,115.2,64.0,high
12471,2,26,15236.46999999997,16.703980099502488,6715,586.0180769230758,33.0,6.5,low
12472,24,7,6061.050000000005,12.409638554216867,4120,865.8642857142864,86.8,50.0,low
12473,45,3,2568.8399999999992,14.652173913043478,2359,856.2799999999997,73.6,60.0,low
12474,9,18,6679.72,11.637254901960784,4748,371.09555555555556,39.0,11.5,low
12476,7,11,5786.050000000005,10.522321428571429,2357,526.0045454545459,64.0,20.0,low
12477,14,6,13161.580000000009,11.483333333333333,3445,2193.596666666668,100.0,35.0,low
12480,20,4,2659.1000000000004,10.273333333333333,1541,664.7750000000001,121.3,91.5,low
12481,14,10,4956.600000000003,15.507177033492823,3241,495.6600000000003,83.29999999999998,21.0,low
12483,9,8,2143.860000000001,16.08823529411765,1094,267.98250000000013,92.39999999999999,22.0,low
12484,27,4,3913.0799999999963,6.309941520467836,2158,978.2699999999991,133.20000000000002,70.5,low
12488,1,3,1214.0800000000002,9.74074074074074,526,404.6933333333334,34.6,29.0,low
12490,9,9,4559.649999999999,12.9,2709,506.6277777777776,67.80000000000001,33.0,low
12492,55,2,235.20999999999998,10.555555555555555,190,117.60499999999999,37.800000000000004,21.0,high
12493,157,2,375.29,10.2,204,187.645,27.900000000000002,15.5,high
12494,7,7,1083.000000000001,9.830985915492958,698,154.71428571428584,107.80000000000001,34.0,low
12498,13,3,349.7,7.428571428571429,156,116.56666666666666,28.8,0.0,medium
12500,15,11,2694.7899999999995,24.28846153846154,1263,244.98090909090905,62.0,14.0,medium
12502,87,5,2896.5000000000014,5.591549295774648,794,579.3000000000003,74.0,41.0,high
12504,10,2,481.19999999999993,10.875,87,240.59999999999997,10.8,6.0,medium
12507,126,3,704.63,24.68421052631579,469,234.87666666666667,118.60000000000001,21.0,high
12508,18,2,397.07,3.9420289855072466,272,198.535,1.8,1.0,high
12510,134,2,878.2500000000001,11.193548387096774,347,439.12500000000006,163.8,91.0,medium
12512,58,2,137.63000000000005,2.911764705882353,99,68.81500000000003,0.0,0.0,high
12516,69,2,1101.44,31.583333333333332,758,550.72,91.8,51.0,medium
12517,20,4,2321.26,4.843416370106762,1361,580.315,59.7,48.5,low
12518,20,4,1537.75,10.980392156862745,1120,384.4375,32.1,24.0,low
12520,71,5,2312.949999999999,9.680272108843537,1423,462.5899999999998,62.6,55.0,high
12522,31,2,154.64,14.0,140,77.32,10.8,6.0,high
12523,11,11,1674.4400000000005,8.431372549019608,860,152.22181818181824,40.0,23.0,low
12524,1,8,3867.3300000000004,21.272058823529413,2893,483.41625000000005,70.0,42.0,low
12526,45,2,931.58,9.607142857142858,538,465.79,36.0,20.0,high
12527,73,3,330.71000000000004,13.705882352941176,233,110.23666666666668,176.4,30.0,medium
12528,1,6,1609.84,8.604651162790697,740,268.3066666666667,90.5,43.0,low
12530,51,4,1396.0199999999995,13.387096774193548,830,349.0049999999999,107.6,83.0,low
12535,83,2,716.3500000000001,6.4411764705882355,219,358.17500000000007,84.60000000000001,47.0,medium
12539,14,4,5314.939999999998,7.571428571428571,2067,1328.7349999999994,183.50000000000003,35.5,low
12540,11,17,11715.859999999993,14.36008676789588,6620,689.1682352941173,34.0,17.0,low
12541,21,3,841.8800000000001,13.775510204081632,675,280.6266666666667,135.8,107.0,low
12545,67,2,814.5399999999998,10.770833333333334,517,407.2699999999999,165.6,92.0,low
12546,38,2,1001.7000000000003,8.656716417910447,580,500.85000000000014,27.900000000000002,15.5,high
12547,189,2,151.8,22.0,132,75.9,73.8,41.0,high
12553,17,9,3005.2799999999993,10.254335260115607,1774,333.9199999999999,51.8,35.0,low
12556,42,2,600.1799999999997,2.958677685950413,358,300.08999999999986,90.0,50.0,low
12557,8,5,3702.2399999999984,45.09090909090909,1488,740.4479999999996,124.0,76.0,low
12559,302,2,537.81,14.05,281,268.905,7.2,4.0,high
12562,14,6,2777.610000000002,10.264285714285714,1437,462.93500000000034,47.0,29.0,low
12567,14,10,8406.729999999996,9.728310502283104,4261,840.6729999999995,76.39999999999999,13.5,medium
12569,8,26,2625.250000000001,11.579365079365079,1459,100.97115384615388,20.6,7.0,medium
12571,31,2,519.6099999999999,15.382352941176471,523,259.80499999999995,72.9,40.5,low
12576,27,5,1279.4799999999996,10.988636363636363,967,255.8959999999999,78.8,60.0,low
12577,27,3,642.0200000000004,3.2260273972602738,471,214.0066666666668,258.40000000000003,0.0,medium
12578,13,2,2397.6600000000003,10.553571428571429,1182,1198.8300000000002,277.2,154.0,low
12582,230,2,351.3599999999999,14.8,296,175.67999999999995,44.1,24.5,high
12583,10,14,5942.499999999994,17.47196261682243,3739,424.46428571428527,44.70000000000001,23.0,low
12584,9,8,1992.7,4.2298850574712645,368,249.0875,61.79999999999999,22.0,low
12585,226,2,1703.349999999999,13.211764705882352,1123,851.6749999999995,105.3,58.5,high
12589,20,2,563.48,9.151515151515152,302,281.74,103.5,57.5,low
12592,84,2,401.59999999999997,18.0,288,200.79999999999998,108.9,60.5,medium
12593,100,3,422.09999999999997,10.2,204,140.7,75.4,21.0,high
12594,29,9,3172.619999999998,14.912280701754385,1700,352.5133333333331,64.4,28.0,medium
12596,43,2,415.17,16.8,420,207.585,171.0,95.0,low
12597,11,4,3139.6900000000005,10.603960396039604,2142,784.9225000000001,124.9,53.0,low
12598,1,7,2794.929999999998,15.259842519685039,1938,399.275714285714,73.80000000000001,42.0,low
12599,21,7,888.5800000000004,17.236363636363638,948,126.94000000000005,85.0,24.0,low
12600,20,10,2374.94,14.037037037037036,758,237.494,55.3,36.0,low
12601,181,5,478.21,10.434782608695652,240,95.642,49.0,29.0,high
12604,71,2,236.17999999999995,13.333333333333334,200,118.08999999999997,163.8,91.0,low
12609,70,3,1037.15,11.210526315789474,639,345.7166666666667,127.2,108.0,low
12610,14,4,1720.7400000000007,10.186274509803921,1039,430.1850000000002,49.30000000000001,20.5,low
12613,49,4,3088.9799999999973,10.939597315436242,1630,772.2449999999993,117.20000000000002,32.0,medium
12615,28,3,1639.1400000000003,13.048780487804878,1070,546.3800000000001,83.80000000000001,35.0,low
12616,87,2,641.3000000000001,9.333333333333334,280,320.65000000000003,181.8,101.0,low
12619,8,8,2177.8100000000004,27.170731707317074,2228,272.22625000000005,56.3,24.0,low
12620,6,3,1308.9299999999998,12.956043956043956,1179,436.30999999999995,111.6,66.0,low
12621,15,19,10723.200000000004,14.071246819338423,5530,564.3789473684213,33.199999999999996,11.0,medium
12624,98,2,572.08,9.75,351,286.04,63.9,35.5,high
12625,203,2,2487.8199999999997,19.011904761904763,1597,1243.9099999999999,96.3,53.5,high
12626,15,9,6129.140000000001,11.985964912280702,3416,681.0155555555557,69.20000000000002,20.0,low
12627,2,6,4048.770000000002,11.276785714285714,2526,674.7950000000003,42.5,16.0,low
12628,25,2,535.2099999999999,11.5,299,267.60499999999996,27.900000000000002,15.5,medium
12630,1,2,1023.4600000000004,8.741935483870968,542,511.7300000000002,30.6,17.0,low
12633,50,4,1818.3799999999997,10.278350515463918,997,454.5949999999999,85.0,68.5,low
12635,81,2,1486.4599999999998,11.212121212121213,1110,743.2299999999999,58.5,32.5,high
12637,59,8,5750.099999999999,7.728682170542636,2991,718.7624999999999,66.8,24.0,medium
12640,15,3,982.53,6.02,301,327.51,45.0,1.0,medium
12642,17,3,879.2099999999999,12.409090909090908,546,293.07,50.6,25.0,low
12643,120,6,1809.92,44.44444444444444,800,301.65333333333336,77.5,23.5,high
12645,25,4,1631.1800000000007,15.594202898550725,1076,407.7950000000002,105.8,85.5,low
12647,14,12,3080.7100000000005,11.825688073394495,1289,256.72583333333336,54.0,24.5,low
12649,99,3,539.2699999999999,18.03448275862069,523,179.75666666666663,84.0,0.0,high
12653,140,2,2382.05,21.372093023255815,919,1191.025,132.3,73.5,high
12654,2,5,529.73,7.647058823529412,260,105.946,134.8,26.0,low
12656,9,5,3496.020000000002,13.24793388429752,1603,699.2040000000004,74.2,43.0,low
12657,3,4,1247.5399999999997,13.181818181818182,580,311.88499999999993,34.2,15.0,low
12662,15,10,3320.4399999999982,9.298076923076923,1934,332.0439999999998,55.0,36.0,low
12664,8,8,3148.199999999999,32.16,804,393.52499999999986,88.6,21.0,low
12668,3,4,3335.4100000000017,10.031847133757962,1575,833.8525000000004,188.80000000000004,48.0,low
12669,142,2,1407.54,11.26530612244898,1104,703.77,94.5,52.5,high
12670,2,5,2771.8899999999994,15.89655172413793,1383,554.3779999999999,88.2,32.0,low
12674,30,4,1821.3800000000003,14.253164556962025,1126,455.3450000000001,71.2,45.0,low
12676,16,6,1091.39,17.025641025641026,664,181.89833333333334,68.0,51.0,low
12678,34,9,9497.98,38.11538461538461,5946,1055.331111111111,65.6,35.0,low
12679,50,4,902.0600000000002,10.75,473,225.51500000000004,105.0,53.0,low
12680,65,3,541.3599999999999,9.823529411764707,334,180.4533333333333,21.6,16.0,high
12681,6,22,12268.92,11.832792207792208,7289,557.6781818181818,32.900000000000006,11.0,low
12682,1,30,9950.700000000004,10.37473233404711,4845,331.69000000000017,26.1,7.5,low
12683,42,13,6973.829999999997,14.526845637583893,4329,536.4484615384613,42.0,22.0,medium
12684,16,5,1825.9499999999998,18.376344086021504,1709,365.18999999999994,79.2,26.0,low
12685,20,6,2577.9300000000003,9.980132450331126,1507,429.65500000000003,19.5,11.5,high
12689,17,2,1146.5700000000002,8.885714285714286,622,573.2850000000001,90.9,50.5,low
12691,20,5,867.8,12.592592592592593,340,173.56,138.20000000000002,38.0,low
12693,118,4,722.1099999999999,7.057142857142857,247,180.52749999999997,75.30000000000001,53.5,high
12694,62,2,769.5699999999998,14.371428571428572,503,384.7849999999999,100.8,56.0,medium
12695,58,3,492.38000000000005,8.583333333333334,206,164.1266666666667,89.80000000000001,41.0,medium
12697,20,3,748.2300000000001,12.605263157894736,479,249.41000000000005,89.0,37.0,low
12700,57,3,3328.2900000000013,10.817307692307692,2250,1109.4300000000005,83.6,58.0,low
12701,71,2,694.01,13.215686274509803,674,347.005,145.8,81.0,low
12704,14,7,1514.2099999999996,10.896103896103897,839,216.31571428571422,41.4,21.0,low
12705,7,8,6569.140000000005,12.00609756097561,3938,821.1425000000006,89.3,39.0,low
12708,21,10,2411.71,8.789115646258503,1292,241.171,54.49999999999999,34.5,low
12709,7,15,9893.229999999994,19.236453201970445,3905,659.5486666666662,39.0,25.0,low
12710,88,3,1023.0200000000007,11.405405405405405,844,341.0066666666669,59.0,39.0,high
12712,20,13,3920.4299999999985,8.633333333333333,1036,301.57153846153835,52.000000000000014,20.0,low
12714,1,5,4269.629999999994,11.803149606299213,2998,853.9259999999988,93.0,72.0,low
12717,143,2,795.43,9.471698113207546,502,397.715,84.60000000000001,47.0,high
12720,7,24,4806.520000000003,13.061728395061728,4232,200.2716666666668,27.599999999999994,13.5,low
12721,23,6,2373.2900000000004,12.529032258064516,1942,395.5483333333334,83.0,53.5,low
12722,77,4,920.7199999999997,10.865384615384615,565,230.17999999999992,31.1,15.5,high
12723,8,4,619.5399999999998,6.390625,409,154.88499999999996,33.60000000000001,0.0,medium
12724,73,3,733.1700000000001,8.69047619047619,365,244.39000000000001,144.6,91.0,low
12726,20,7,2295.4200000000005,23.28205128205128,2724,327.91714285714295,73.4,49.0,low
12727,2,7,3464.2800000000007,15.06060606060606,1988,494.89714285714297,92.2,23.0,low
12728,63,4,694.1699999999997,9.833333333333334,413,173.54249999999993,144.60000000000002,37.0,medium
12731,15,12,16576.490000000005,24.2014652014652,6607,1381.3741666666672,57.300000000000004,28.5,low
12735,307,2,671.2299999999999,8.853658536585366,363,335.61499999999995,18.900000000000002,10.5,high
12744,48,4,8749.170000000004,20.71627906976744,4454,2187.292500000001,99.2,78.5,low
12747,14,10,4171.210000000002,12.010416666666666,1153,417.1210000000002,56.0,39.0,low
12748,1,197,32219.72000000035,4.84187134502924,20699,163.55187817259062,4.0,0.0,medium
12749,14,4,3256.580000000001,7.647798742138365,1216,814.1450000000002,99.5,41.0,low
12753,14,6,18997.31,41.619289340101524,8199,3166.2183333333337,112.5,45.5,low
12754,227,3,583.94,11.444444444444445,721,194.64666666666668,38.0,15.5,high
12755,272,2,159.15,12.75,51,79.575,76.5,42.5,high
12757,7,9,4085.920000000005,6.558904109589041,2394,453.99111111111165,49.2,12.0,low
12758,108,2,2778.9300000000003,21.701030927835053,2105,1389.4650000000001,143.1,79.5,medium
12759,44,3,1363.0300000000004,9.717391304347826,894,454.3433333333335,116.0,104.0,low
12763,130,2,447.88,16.22222222222222,292,223.94,207.0,115.0,medium
12766,49,6,5772.240000000001,11.628070175438596,3314,962.0400000000001,91.0,46.5,medium
12775,9,5,1270.7100000000003,14.262295081967213,870,254.14200000000005,126.80000000000001,48.0,low
12778,11,6,662.0899999999999,17.204545454545453,757,110.34833333333331,97.5,42.0,low
12779,29,8,4225.690000000003,13.422818791946309,2000,528.2112500000004,80.59999999999998,29.0,low
12781,55,2,741.86,25.916666666666668,622,370.93,198.9,110.5,low
12782,141,4,1721.390000000001,11.094117647058823,943,430.34750000000025,91.30000000000001,51.5,high
12783,24,3,992.1199999999999,7.629032258064516,473,330.70666666666665,22.8,18.0,high
12787,1,3,421.86,15.176470588235293,258,140.62,97.0,81.0,low
12793,326,2,440.20000000000005,13.272727272727273,292,220.10000000000002,32.4,18.0,high
12794,45,2,860.4099999999999,13.155555555555555,592,430.2049999999999,40.5,22.5,high
12798,2,3,481.44000000000005,48.0,384,160.48000000000002,107.60000000000001,34.0,low
12808,28,3,458.25000000000017,6.925925925925926,187,152.75000000000006,176.6,147.0,low
12811,253,2,432.8500000000001,8.107142857142858,227,216.42500000000004,19.8,11.0,high
12815,139,2,861.4599999999999,8.311111111111112,374,430.72999999999996,45.0,25.0,high
12816,87,2,420.29999999999995,4.62962962962963,125,210.14999999999998,72.0,40.0,high
12820,36,3,734.5899999999999,12.914893617021276,607,244.86333333333332,206.8,30.0,medium
12822,62,2,959.98,11.956521739130435,550,479.99,14.4,8.0,high
12823,66,5,1558.1999999999998,39.2,196,311.64,97.0,34.0,medium
12826,21,6,1372.9999999999995,11.845238095238095,995,228.83333333333326,122.0,41.0,low
12827,24,2,318.7,7.5,150,159.35,9.9,5.5,high
12828,57,4,661.3100000000002,8.131578947368421,309,165.32750000000004,28.200000000000003,15.0,high
12829,328,2,279.3,18.90909090909091,208,139.65,20.7,11.5,high
12830,29,6,2856.959999999999,48.0,1824,476.15999999999985,47.5,18.0,medium
12832,24,2,371.03000000000003,7.222222222222222,195,185.51500000000001,58.5,32.5,low
12836,51,4,2567.9299999999985,6.08,1064,641.9824999999996,88.0,77.0,low
12838,25,2,666.8399999999996,2.9186991869918697,359,333.4199999999998,306.0,170.0,low
12839,3,13,4845.0300000000025,11.731448763250883,3320,372.6946153846156,60.800000000000026,20.0,low
12840,135,4,2726.769999999999,13.371681415929203,1511,681.6924999999998,35.9,21.5,high
12841,6,23,3819.819999999998,6.603580562659847,2582,166.0791304347825,23.6,14.0,low
12842,62,2,1088.09,16.08823529411765,547,544.045,214.20000000000002,119.0,low
12843,57,8,1696.36,7.58252427184466,781,212.045,57.99999999999999,8.5,medium
12844,21,2,323.55999999999995,2.4038461538461537,125,161.77999999999997,90.9,50.5,low
12845,259,4,223.78999999999996,4.0,108,55.94749999999999,13.900000000000002,1.5,high
12849,23,2,1028.7499999999998,12.020408163265307,589,514.3749999999999,213.3,118.5,low
12853,126,6,1883.3999999999999,9.025641025641026,704,313.9,90.0,0.0,high
12854,70,3,1262.8900000000006,5.409090909090909,595,420.96333333333354,145.0,77.0,low
12856,10,5,1968.8600000000013,3.5962264150943395,953,393.7720000000003,14.200000000000001,10.0,low
12857,202,2,1104.0000000000002,7.456521739130435,343,552.0000000000001,81.9,45.5,high
12865,18,2,1537.0799999999992,9.736842105263158,925,768.5399999999996,87.3,48.5,low
12867,18,7,3989.4299999999957,7.91449814126394,4258,569.9185714285708,68.8,49.0,low
12868,177,6,1596.000000000001,8.672897196261681,928,266.00000000000017,48.5,37.0,high
12871,76,2,371.8400000000001,16.727272727272727,184,185.92000000000004,110.7,61.5,medium
12872,318,2,593.3699999999998,4.833333333333333,319,296.6849999999999,34.2,19.0,high
12875,135,2,20.16,48.0,96,10.08,197.1,109.5,medium
12876,49,2,1965.8200000000006,20.072289156626507,1666,982.9100000000003,124.2,69.0,low
12877,16,11,1482.6700000000005,7.123287671232877,1040,134.78818181818187,52.0,30.0,low
12878,228,2,859.31,11.638297872340425,547,429.655,26.1,14.5,high
12879,36,3,550.9000000000001,29.8,298,183.63333333333335,30.8,10.0,high
12882,1,2,1641.6,18.923076923076923,246,820.8,21.6,12.0,low
12883,16,4,692.5200000000001,4.666666666666667,196,173.13000000000002,44.80000000000001,0.0,medium
12885,55,3,1158.9199999999994,9.225352112676056,655,386.30666666666644,48.0,0.0,high
12886,59,2,1386.05,9.390243902439025,770,693.025,135.9,75.5,low
12888,206,2,371.4,15.2,76,185.7,36.9,20.5,high
12891,177,3,60.480000000000004,48.0,144,20.16,64.6,35.0,high
12895,34,2,340.15,9.545454545454545,210,170.075,39.6,22.0,medium
12897,196,2,232.5,27.5,110,116.25,87.3,48.5,high
12901,2,27,4664.320000000001,30.85217391304348,3548,172.7525925925926,21.60000000000001,9.0,low
12904,10,2,503.0499999999998,4.194444444444445,302,251.5249999999999,138.6,77.0,low
12906,3,5,2593.559999999999,23.444444444444443,1477,518.7119999999998,46.20000000000001,0.0,medium
12908,168,2,79.67999999999999,48.0,96,39.839999999999996,122.4,68.0,high
12909,31,5,1771.3099999999997,13.538461538461538,1232,354.26199999999994,88.80000000000001,48.0,low
12910,15,8,3152.2000000000007,22.026666666666667,1652,394.0250000000001,57.4,27.5,low
12912,6,3,964.3000000000001,26.923076923076923,350,321.43333333333334,14.600000000000001,9.0,low
12913,7,4,1845.9100000000003,21.83783783783784,808,461.4775000000001,206.00000000000003,42.0,low
12915,140,2,338.65,4.2272727272727275,93,169.325,200.70000000000002,111.5,medium
12916,130,4,2996.5300000000007,10.009345794392523,1071,749.1325000000002,62.7,58.5,high
12919,8,5,1021.13,12.214285714285714,513,204.226,63.60000000000001,19.0,low
12921,1,37,16591.34000000002,13.16388888888889,9478,448.4145945945951,30.0,2.0,low
12924,80,4,847.2600000000002,12.413793103448276,360,211.81500000000005,100.10000000000001,64.0,medium
12928,27,5,2029.4999999999993,14.523809523809524,1220,405.89999999999986,111.0,93.0,low
12930,70,2,400.35,10.08,252,200.175,83.7,46.5,medium
12931,13,15,7725.540000000001,46.65853658536585,3826,515.0360000000001,50.19999999999999,18.0,low
12933,16,3,590.3699999999998,3.7641509433962264,399,196.78999999999994,140.0,112.0,low
12935,18,5,1820.6399999999994,13.845454545454546,1523,364.1279999999999,101.80000000000001,54.0,low
12936,9,4,1085.9000000000003,9.016129032258064,559,271.4750000000001,40.400000000000006,2.0,medium
12937,7,4,1486.920000000001,8.191666666666666,983,371.73000000000025,108.9,62.5,low
12939,56,8,6065.52,47.48936170212766,2232,758.19,81.49999999999999,20.0,medium
12940,46,2,898.1100000000001,4.151515151515151,411,449.05500000000006,29.7,16.5,high
12942,123,3,677.7000000000002,2.7066666666666666,203,225.90000000000006,147.60000000000002,66.0,medium
12944,27,2,610.15,9.633333333333333,289,305.075,287.1,159.5,low
12947,135,6,1470.7900000000004,12.010309278350515,1165,245.13166666666675,76.5,37.0,high
12948,8,7,2055.49,9.310344827586206,1080,293.64142857142855,71.20000000000002,28.0,low
12949,22,8,4168.5700000000015,11.074418604651163,2381,521.0712500000002,77.4,8.0,medium
12951,165,5,753.2800000000002,7.355555555555555,331,150.65600000000003,59.6,30.0,high
12952,35,3,1080.31,8.754098360655737,534,360.1033333333333,28.0,0.0,high
12955,8,9,3935.9199999999996,19.1375,3062,437.3244444444444,48.6,25.0,low
12957,1,8,3965.050000000002,10.710084033613445,2549,495.63125000000025,92.3,32.0,low
12963,2,7,1597.9299999999996,9.44578313253012,784,228.27571428571423,130.60000000000008,7.0,low
12967,349,2,1444.9,22.0,418,722.45,11.700000000000001,6.5,high
12970,314,2,23.799999999999997,1.0,8,11.899999999999999,0.0,0.0,high
12971,2,84,10241.639999999994,21.07,6321,121.92428571428565,10.0,3.0,low
12980,149,9,3771.8,34.7,694,419.0888888888889,37.400000000000006,18.0,high
12981,21,2,372.21999999999997,12.1,242,186.10999999999999,92.7,51.5,low
12987,65,2,520.25,7.821428571428571,219,260.125,111.60000000000001,62.0,medium
12989,13,13,4950.24,30.15,1206,380.7876923076923,41.2,29.0,low
12990,23,3,416.00000000000006,15.384615384615385,200,138.66666666666669,147.2,124.0,low
12991,15,2,502.05999999999995,13.0,403,251.02999999999997,80.10000000000001,44.5,low
12993,15,4,414.75999999999993,8.88888888888889,240,103.68999999999998,94.9,88.5,low
12994,112,2,641.9600000000002,7.390243902439025,303,320.9800000000001,133.20000000000002,74.0,medium
12997,14,4,1169.1899999999998,10.847457627118644,640,292.29749999999996,126.9,73.0,low
12999,188,3,453.3799999999999,12.214285714285714,342,151.12666666666664,33.6,8.0,high
13000,98,3,528.69,11.451612903225806,355,176.23000000000002,143.2,104.0,low
13001,14,12,8467.710000000008,12.864197530864198,4168,705.6425000000007,32.300000000000004,13.0,medium
13003,97,3,149.05,17.166666666666668,103,49.68333333333334,59.4,45.0,high
13004,3,18,5774.05,11.876237623762377,4798,320.78055555555557,35.0,17.5,low
13005,165,2,513.7,6.615384615384615,172,256.85,64.8,36.0,high
13012,1,8,1661.8000000000009,9.258426966292134,824,207.7250000000001,71.5,32.5,low
13013,13,12,4511.59,10.018957345971565,2114,375.96583333333336,54.900000000000006,17.0,low
13014,2,10,3531.4800000000005,8.302752293577981,905,353.148,51.4,28.0,low
13015,45,5,3051.830000000001,9.1875,1617,610.3660000000002,105.0,3.0,medium
13016,65,3,759.1199999999998,11.212765957446809,527,253.03999999999994,39.2,0.0,high
13018,8,28,7199.429999999998,11.862445414847162,5433,257.1224999999999,24.0,9.0,low
13021,17,8,2315.35,10.5,1218,289.41875,94.6,40.0,low
13023,56,2,595.7,7.368421052631579,280,297.85,58.5,32.5,medium
13026,23,4,593.9999999999999,31.846153846153847,828,148.49999999999997,106.9,57.0,low
13027,105,6,686.3999999999996,48.0,1248,114.39999999999993,81.0,37.5,high
13028,14,2,642.6,16.666666666666668,750,321.3,19.8,11.0,medium
13029,22,3,866.5,13.4,134,288.8333333333333,192.60000000000002,107.0,low
